"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9976501464844","29.2221298217773","27.6982498168945","29.5508193969727","28.0117797851563","","28.4204692840576","26.7683696746826","","","","","","","31.299129486084","31.4715595245361","34.4306907653809","30.6769104003906","","",
"Afghanistan","AFG","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","40.8208694458008","","","","36.8471794128418","","","","21.3123092651367","21.5063896179199","24.5364894866943","22.4956302642822","23.0634708404541","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6937294006348","26.6243190765381","25.3948593139648","25.7793502807617","25.3920593261719","24.3563003540039","","",
"Angola","AGO","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.2176399230957","42.4243087768555","","","","","","","","","","","",
"Albania","ALB","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.673999786377","","","","","","","","","","","","","","","","","","","19.8315601348877","","21.5816593170166","","18.6239795684814",
"Andorra","AND","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.1586208343506","","18.7619094848633","20.6186103820801","21.4930400848389","24.6466999053955","","26.1278705596924","20.9346103668213","21.3598499298096","","35.2473182678223","20.5063495635986","24.9134502410889","23.9702491760254","",
"Arab World","ARB","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.1860389709473","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","30.2857093811035","","31.9702606201172","33.0166282653809","23.7639598846436","30.8638496398926","36.5579681396484","29.6884899139404","26.6588897705078","28.0860290527344","26.6252899169922","","26.1679706573486","27.6453990936279","26.9488906860352","37.8218307495117","43.6473083496094","42.3785705566406","","45.1203117370605","43.724479675293","","","","","","33.6384201049805","","33.2124214172363","36.9067802429199","35.7032508850098","36.6253814697266","39.241771697998","37.2598991394043","37.7990913391113","41.6870918273926","40.0211601257324","39.2455406188965","39.1936416625977","40.7731399536133","39.6499710083008","40.4718894958496","40.4383888244629","41.5272789001465","41.4773216247559","41.3327217102051","","",
"Armenia","ARM","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6511306762695","48.8810005187988","54.4620399475098","","51.0742683410645","",
"American Samoa","ASM","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2808303833008","","","35.1521987915039","","","","","","","48.3924903869629","","","","","","","","",
"Australia","AUS","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.842601776123","38.7527389526367","37.6315307617188","39.5364990234375","","","","38.5898094177246","","","","","39.7121315002441","39.6001510620117","38.9361991882324","38.6164016723633","37.7816009521484","36.7888793945313","36.5912704467773","35.2615089416504","33.0649299621582","32.3619918823242","","","",
"Austria","AUT","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","50.992919921875","51.858039855957","51.2914505004883","53.9527893066406","53.0228691101074","53.0738296508789","53.7774696350098","54.2882118225098","55.0773086547852","55.8120918273926","56.0773391723633","52.4738616943359","51.5994987487793","51.4503288269043","49.0370788574219","49.5944213867188","48.4375991821289","49.5090408325195","48.8698196411133","48.5592803955078","48.9079895019531","48.0472984313965","48.1303596496582","47.0763511657715","","46.8932685852051","48.3346786499023","","44.0605812072754","44.8327484130859","45.413459777832","45.2066307067871","45.7163696289063","48.9391212463379","47.279598236084","45.9372787475586","46.5793113708496","46.2844314575195","46.2774810791016","46.733699798584","44.3598899841309","45.3619499206543","41.2169189453125","41.2059783935547","40.3637809753418","","","",
"Azerbaijan","AZE","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.6663284301758","","",
"Burundi","BDI","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","32.3704681396484","","37.2084312438965","","","","","","","","","29.817289352417","28.7045803070068","28.5464706420898","","35.538890838623","39.7494201660156","36.405101776123","","","37.997688293457","35.0372314453125","31.9080600738525","31.9797706604004","","29.4529399871826","33.1097183227539","","","24.3619499206543","24.892749786377","27.9171905517578","27.3560104370117","24.2159404754639","26.8171691894531","","","","",
"Belgium","BEL","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","46.0508918762207","46.3581809997559","44.0621490478516","47.9544105529785","48.5250205993652","50.3638000488281","50.1753082275391","51.6222114562988","","","","49.9659118652344","49.5796813964844","49.8066711425781","","","","","45.4568901062012","46.5633010864258","45.6138305664063","44.6764602661133","","","","","43.3456001281738","44.4572906494141","42.5606384277344","43.0164413452148","43.0984992980957","42.5331382751465","42.9161415100098","43.2522583007813","43.3152694702148","42.5049781799316","42.7980308532715","","42.1314582824707","42.0458984375","","","",
"Benin","BEN","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6926593780518","25.1031398773193","24.3323707580566","26.8101196289063","28.6909408569336","32.8271598815918","24.6760902404785","19.3964290618896","24.1493301391602","22.2342395782471","27.9825305938721","","21.9710006713867","26.3637104034424","26.2518291473389","23.735279083252","","",
"Burkina Faso","BFA","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","18.7862091064453","","19.6340007781982","","","20.6291999816895","","20.5298595428467","","","38.7425918579102","","","","","","30.0399303436279","","0","","","","","","","","","10.3247404098511","11.5070199966431","15.7194204330444","","","18.0019302368164","19.0634803771973","18.3053798675537","15.1618204116821","16.899299621582","22.090799331665","","",
"Bangladesh","BGD","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","23.1087608337402","24.1485900878906","33.8371086120605","35.815731048584","36.1082916259766","40.8652114868164","36.6409187316895","34.4384498596191","46.0380706787109","","","38.7459907531738","39.0189590454102","32.0783004760742","37.2788391113281","","","","43.959659576416","","37.852180480957","36.1057586669922","","43.7558517456055","45.4618110656738","48.4706802368164","","43.4224700927734","40.7819519042969","39.5918884277344","40.2056999206543","","41.1449508666992","39.0991287231445","","","","38.1560516357422","",
