"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","BOY","MEANSCORE","A","2015",497,
"AUT","PISAMATH","BOY","MEANSCORE","A","2015",510,
"BEL","PISAMATH","BOY","MEANSCORE","A","2015",514,
"CAN","PISAMATH","BOY","MEANSCORE","A","2015",520,
"CZE","PISAMATH","BOY","MEANSCORE","A","2015",496,
"DNK","PISAMATH","BOY","MEANSCORE","A","2015",516,
"FIN","PISAMATH","BOY","MEANSCORE","A","2015",507,
"FRA","PISAMATH","BOY","MEANSCORE","A","2015",496,
"DEU","PISAMATH","BOY","MEANSCORE","A","2015",514,
"GRC","PISAMATH","BOY","MEANSCORE","A","2015",454,
"HUN","PISAMATH","BOY","MEANSCORE","A","2015",481,
"ISL","PISAMATH","BOY","MEANSCORE","A","2015",487,
"IRL","PISAMATH","BOY","MEANSCORE","A","2015",512,
"ITA","PISAMATH","BOY","MEANSCORE","A","2015",500,
"JPN","PISAMATH","BOY","MEANSCORE","A","2015",539,
"KOR","PISAMATH","BOY","MEANSCORE","A","2015",521,
"LUX","PISAMATH","BOY","MEANSCORE","A","2015",491,
"MEX","PISAMATH","BOY","MEANSCORE","A","2015",412,
"NLD","PISAMATH","BOY","MEANSCORE","A","2015",513,
"NZL","PISAMATH","BOY","MEANSCORE","A","2015",499,
"NOR","PISAMATH","BOY","MEANSCORE","A","2015",501,
"POL","PISAMATH","BOY","MEANSCORE","A","2015",510,
"PRT","PISAMATH","BOY","MEANSCORE","A","2015",497,
"SVK","PISAMATH","BOY","MEANSCORE","A","2015",478,
"ESP","PISAMATH","BOY","MEANSCORE","A","2015",494,
"SWE","PISAMATH","BOY","MEANSCORE","A","2015",493,
"CHE","PISAMATH","BOY","MEANSCORE","A","2015",527,
"TUR","PISAMATH","BOY","MEANSCORE","A","2015",423,
"GBR","PISAMATH","BOY","MEANSCORE","A","2015",498,
"USA","PISAMATH","BOY","MEANSCORE","A","2015",474,
"BRA","PISAMATH","BOY","MEANSCORE","A","2015",385,
"CHL","PISAMATH","BOY","MEANSCORE","A","2015",432,
"EST","PISAMATH","BOY","MEANSCORE","A","2015",522,
"IDN","PISAMATH","BOY","MEANSCORE","A","2015",385,
"ISR","PISAMATH","BOY","MEANSCORE","A","2015",474,
"RUS","PISAMATH","BOY","MEANSCORE","A","2015",497,
"SVN","PISAMATH","BOY","MEANSCORE","A","2015",512,
"OAVG","PISAMATH","BOY","MEANSCORE","A","2015",494,
"LVA","PISAMATH","BOY","MEANSCORE","A","2015",481,
"SGP","PISAMATH","BOY","MEANSCORE","A","2015",564,
"COL","PISAMATH","BOY","MEANSCORE","A","2015",395,
"HKG","PISAMATH","BOY","MEANSCORE","A","2015",549,
"PER","PISAMATH","BOY","MEANSCORE","A","2015",391,
"TWN","PISAMATH","BOY","MEANSCORE","A","2015",545,
"MAC","PISAMATH","BOY","MEANSCORE","A","2015",540,
