"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","TOT","MEANSCORE","A","2009",514,
"BEL","PISAMATH","TOT","MEANSCORE","A","2009",515,
"CAN","PISAMATH","TOT","MEANSCORE","A","2009",527,
"CZE","PISAMATH","TOT","MEANSCORE","A","2009",493,
"DNK","PISAMATH","TOT","MEANSCORE","A","2009",503,
"FIN","PISAMATH","TOT","MEANSCORE","A","2009",541,
"FRA","PISAMATH","TOT","MEANSCORE","A","2009",497,
"DEU","PISAMATH","TOT","MEANSCORE","A","2009",513,
"GRC","PISAMATH","TOT","MEANSCORE","A","2009",466,
"HUN","PISAMATH","TOT","MEANSCORE","A","2009",490,
"ISL","PISAMATH","TOT","MEANSCORE","A","2009",507,
"IRL","PISAMATH","TOT","MEANSCORE","A","2009",487,
"ITA","PISAMATH","TOT","MEANSCORE","A","2009",483,
"JPN","PISAMATH","TOT","MEANSCORE","A","2009",529,
"KOR","PISAMATH","TOT","MEANSCORE","A","2009",546,
"LUX","PISAMATH","TOT","MEANSCORE","A","2009",489,
"MEX","PISAMATH","TOT","MEANSCORE","A","2009",419,
"NLD","PISAMATH","TOT","MEANSCORE","A","2009",526,
"NZL","PISAMATH","TOT","MEANSCORE","A","2009",519,
"NOR","PISAMATH","TOT","MEANSCORE","A","2009",498,
"POL","PISAMATH","TOT","MEANSCORE","A","2009",495,
"PRT","PISAMATH","TOT","MEANSCORE","A","2009",487,
"SVK","PISAMATH","TOT","MEANSCORE","A","2009",497,
"ESP","PISAMATH","TOT","MEANSCORE","A","2009",483,
"SWE","PISAMATH","TOT","MEANSCORE","A","2009",494,
"CHE","PISAMATH","TOT","MEANSCORE","A","2009",534,
"TUR","PISAMATH","TOT","MEANSCORE","A","2009",445,
"GBR","PISAMATH","TOT","MEANSCORE","A","2009",492,
"USA","PISAMATH","TOT","MEANSCORE","A","2009",487,
"BRA","PISAMATH","TOT","MEANSCORE","A","2009",386,
"CHL","PISAMATH","TOT","MEANSCORE","A","2009",421,
"EST","PISAMATH","TOT","MEANSCORE","A","2009",512,
"IDN","PISAMATH","TOT","MEANSCORE","A","2009",371,
"ISR","PISAMATH","TOT","MEANSCORE","A","2009",447,
"LVA","PISAMATH","TOT","MEANSCORE","A","2009",482,
"RUS","PISAMATH","TOT","MEANSCORE","A","2009",468,
"SVN","PISAMATH","TOT","MEANSCORE","A","2009",501,
"OAVG","PISAMATH","TOT","MEANSCORE","A","2009",495,
