"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAREAD","BOY","MEANSCORE","A","2015",487,
"AUS","PISAREAD","GIRL","MEANSCORE","A","2015",519,
"AUT","PISAREAD","BOY","MEANSCORE","A","2015",475,
"AUT","PISAREAD","GIRL","MEANSCORE","A","2015",495,
"BEL","PISAREAD","BOY","MEANSCORE","A","2015",491,
"BEL","PISAREAD","GIRL","MEANSCORE","A","2015",507,
"CAN","PISAREAD","BOY","MEANSCORE","A","2015",514,
"CAN","PISAREAD","GIRL","MEANSCORE","A","2015",540,
"CZE","PISAREAD","BOY","MEANSCORE","A","2015",475,
"CZE","PISAREAD","GIRL","MEANSCORE","A","2015",501,
"DNK","PISAREAD","BOY","MEANSCORE","A","2015",489,
"DNK","PISAREAD","GIRL","MEANSCORE","A","2015",511,
"FIN","PISAREAD","BOY","MEANSCORE","A","2015",504,
"FIN","PISAREAD","GIRL","MEANSCORE","A","2015",551,
"FRA","PISAREAD","BOY","MEANSCORE","A","2015",485,
"FRA","PISAREAD","GIRL","MEANSCORE","A","2015",514,
"DEU","PISAREAD","BOY","MEANSCORE","A","2015",499,
"DEU","PISAREAD","GIRL","MEANSCORE","A","2015",520,
"GRC","PISAREAD","BOY","MEANSCORE","A","2015",449,
"GRC","PISAREAD","GIRL","MEANSCORE","A","2015",486,
"HUN","PISAREAD","BOY","MEANSCORE","A","2015",457,
"HUN","PISAREAD","GIRL","MEANSCORE","A","2015",482,
"ISL","PISAREAD","BOY","MEANSCORE","A","2015",460,
"ISL","PISAREAD","GIRL","MEANSCORE","A","2015",502,
"IRL","PISAREAD","BOY","MEANSCORE","A","2015",515,
"IRL","PISAREAD","GIRL","MEANSCORE","A","2015",527,
"ITA","PISAREAD","BOY","MEANSCORE","A","2015",477,
"ITA","PISAREAD","GIRL","MEANSCORE","A","2015",493,
"JPN","PISAREAD","BOY","MEANSCORE","A","2015",509,
"JPN","PISAREAD","GIRL","MEANSCORE","A","2015",523,
"KOR","PISAREAD","BOY","MEANSCORE","A","2015",498,
"KOR","PISAREAD","GIRL","MEANSCORE","A","2015",539,
"LUX","PISAREAD","BOY","MEANSCORE","A","2015",471,
"LUX","PISAREAD","GIRL","MEANSCORE","A","2015",492,
"MEX","PISAREAD","BOY","MEANSCORE","A","2015",416,
"MEX","PISAREAD","GIRL","MEANSCORE","A","2015",431,
