"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAREAD","TOT","MEANSCORE","A","2009",515,
"BEL","PISAREAD","TOT","MEANSCORE","A","2009",506,
"CAN","PISAREAD","TOT","MEANSCORE","A","2009",524,
"CZE","PISAREAD","TOT","MEANSCORE","A","2009",478,
"DNK","PISAREAD","TOT","MEANSCORE","A","2009",495,
"FIN","PISAREAD","TOT","MEANSCORE","A","2009",536,
"FRA","PISAREAD","TOT","MEANSCORE","A","2009",496,
"DEU","PISAREAD","TOT","MEANSCORE","A","2009",497,
"GRC","PISAREAD","TOT","MEANSCORE","A","2009",483,
"HUN","PISAREAD","TOT","MEANSCORE","A","2009",494,
"ISL","PISAREAD","TOT","MEANSCORE","A","2009",500,
"IRL","PISAREAD","TOT","MEANSCORE","A","2009",496,
"ITA","PISAREAD","TOT","MEANSCORE","A","2009",486,
"JPN","PISAREAD","TOT","MEANSCORE","A","2009",520,
"KOR","PISAREAD","TOT","MEANSCORE","A","2009",539,
"LUX","PISAREAD","TOT","MEANSCORE","A","2009",472,
"MEX","PISAREAD","TOT","MEANSCORE","A","2009",425,
"NLD","PISAREAD","TOT","MEANSCORE","A","2009",508,
"NZL","PISAREAD","TOT","MEANSCORE","A","2009",521,
"NOR","PISAREAD","TOT","MEANSCORE","A","2009",503,
"POL","PISAREAD","TOT","MEANSCORE","A","2009",500,
"PRT","PISAREAD","TOT","MEANSCORE","A","2009",489,
"SVK","PISAREAD","TOT","MEANSCORE","A","2009",477,
"ESP","PISAREAD","TOT","MEANSCORE","A","2009",481,
"SWE","PISAREAD","TOT","MEANSCORE","A","2009",497,
"CHE","PISAREAD","TOT","MEANSCORE","A","2009",501,
"TUR","PISAREAD","TOT","MEANSCORE","A","2009",464,
"GBR","PISAREAD","TOT","MEANSCORE","A","2009",494,
"USA","PISAREAD","TOT","MEANSCORE","A","2009",500,
"BRA","PISAREAD","TOT","MEANSCORE","A","2009",412,
"CHL","PISAREAD","TOT","MEANSCORE","A","2009",449,
"EST","PISAREAD","TOT","MEANSCORE","A","2009",501,
"IDN","PISAREAD","TOT","MEANSCORE","A","2009",402,
"ISR","PISAREAD","TOT","MEANSCORE","A","2009",474,
"LVA","PISAREAD","TOT","MEANSCORE","A","2009",484,
"RUS","PISAREAD","TOT","MEANSCORE","A","2009",459,
"SVN","PISAREAD","TOT","MEANSCORE","A","2009",483,
