"COUNTRY","Country","ISC11_LEVEL_CAT","Education level and programe orientation","INDICATOR","Indicator","EXPENDITURE_TYPE","Type of expenditure","REF_SECTOR","Source of funds","COUNTERPART_SECTOR","Institution type","YEAR","Year","Value","Flag Codes","Flags"
"NOR","Norway","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",46.484,,
"NOR","Norway","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CAN","Canada","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"CAN","Canada","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NOR","Norway","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",30.253,,
"NOR","Norway","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"POL","Poland","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"POL","Poland","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NZL","New Zealand","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"NZL","New Zealand","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"FRA","France","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",18.228,,
"FRA","France","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GRC","Greece","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",26.681,,
